actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1
jtopas-v1,0.0,37,49,0,-1
jtopas-v2,0.0,14,17,0,-1
jtopas-v3,0.0,15,22,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,0.0,1330,122,0,-1
apache-ant-v2,0.0,193,54,0,-1
apache-ant-v3,0.0,232,58,0,-1
apache-ant-v4,0.0,363,52,0,-1
apache-ant-v5,0.0,544,78,0,-1
apache-ant-v6,0.0,584,79,0,-1
apache-ant-v7,0.0,566,84,0,-1
apache-ant-v8,0.0,653,93,0,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.0,2547,40,0,-1
jakarta-jmeter-v2,0.0,215,43,0,-1
jakarta-jmeter-v3,0.0,245,38,0,-1
jakarta-jmeter-v4,0.0,279,47,0,-1
jakarta-jmeter-v5,0.0,288,75,0,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1
apache-xml-security-v1,0.0,889,20,0,-1
apache-xml-security-v2,0.0,121,20,0,-1
apache-xml-security-v3,0.0,111,17,0,-1
