,Total# of Test Cases in this version,Total# of Test Cases in this version and also applicable to the next version(i.e. regression test cases),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source
apache-ant-v0,112,112,112
apache-ant-v1,137,137,105
apache-ant-v2,219,219,137
apache-ant-v3,219,215,5
apache-ant-v4,521,520,215
apache-ant-v5,557,557,520
apache-ant-v6,559,559,0
apache-ant-v7,877,877,559
apache-ant-v8,878,N/A,14
