actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,3014,13057,31,-1
apache-ant-v2,0.8235294117647058,499,11238,3,-1
apache-ant-v3,0.5,529,14049,2,-1
apache-ant-v4,0.5384615384615384,851,14767,2,-1
apache-ant-v5,0.27722772277227725,1286,17635,2,-1
apache-ant-v6,0.20192307692307693,1250,17982,0,-1
apache-ant-v7,0.26666666666666666,1439,17661,1,-1
apache-ant-v8,0.17333333333333334,1563,20701,0,-1
