actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,3301,15187,37,-1
apache-ant-v2,0.8235294117647058,487,11506,3,-1
apache-ant-v3,0.5,534,14265,1,-1
apache-ant-v4,0.5384615384615384,838,15294,3,-1
apache-ant-v5,0.27722772277227725,1277,19164,1,-1
apache-ant-v6,0.20192307692307693,1238,17704,0,-1
apache-ant-v7,0.26666666666666666,1441,20463,2,-1
apache-ant-v8,0.17333333333333334,1753,22820,0,-1
