actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1
jtopas-v1,0.0,50,222,0,-1
jtopas-v2,0.0,42,47,0,-1
jtopas-v3,0.0,42,46,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,0.0,1295,425,0,-1
apache-ant-v2,0.0,233,364,0,-1
apache-ant-v3,0.0,260,450,0,-1
apache-ant-v4,0.0,391,415,0,-1
apache-ant-v5,0.0,499,830,0,-1
apache-ant-v6,0.0,506,631,0,-1
apache-ant-v7,0.0,592,651,0,-1
apache-ant-v8,0.0,672,887,0,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.0,2558,614,0,-1
jakarta-jmeter-v2,0.0,249,369,0,-1
jakarta-jmeter-v3,0.0,292,363,0,-1
jakarta-jmeter-v4,0.0,303,417,0,-1
jakarta-jmeter-v5,0.0,324,391,0,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1
apache-xml-security-v1,0.0,973,365,0,-1
apache-xml-security-v2,0.0,143,208,0,-1
apache-xml-security-v3,0.0,126,137,0,-1
