actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1
jtopas-v1,0.0,49,113,0,-1
jtopas-v2,0.0,46,37,0,-1
jtopas-v3,0.0,78,49,0,-1
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,0.0,1331,113,0,-1
apache-ant-v2,0.0,335,190,0,-1
apache-ant-v3,0.0,307,459,0,-1
apache-ant-v4,0.0,396,544,0,-1
apache-ant-v5,0.0,595,350,0,-1
apache-ant-v6,0.0,496,75,0,-1
apache-ant-v7,0.0,600,747,0,-1
apache-ant-v8,0.0,732,1049,0,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.0,2595,1195,0,-1
jakarta-jmeter-v2,0.0,297,548,0,-1
jakarta-jmeter-v3,0.0,331,410,0,-1
jakarta-jmeter-v4,0.0,304,659,0,-1
jakarta-jmeter-v5,0.0,366,552,0,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1
apache-xml-security-v1,0.0,896,20,0,-1
apache-xml-security-v2,0.0,104,22,0,-1
apache-xml-security-v3,0.0,144,216,0,-1
