,Total# of Test Cases in this version,Total# of Test Cases in this version and also applicable to the next version(i.e. regression test cases),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source
apache-xml-security-v0,106,106,106
apache-xml-security-v1,106,N/A,106
